SNR,Accuracy
-20.0,0.09772727272727273
-18.0,0.1159090909090909
-16.0,0.14272727272727273
-14.0,0.18363636363636363
-12.0,0.22272727272727272
-10.0,0.27545454545454545
-8.0,0.34136363636363637
-6.0,0.4759090909090909
-4.0,0.6290909090909091
-2.0,0.7863636363636364
0.0,0.8886363636363637
2.0,0.9218181818181819
4.0,0.9304545454545454
6.0,0.9304545454545454
8.0,0.9345454545454546
10.0,0.9377272727272727
12.0,0.9431818181818182
14.0,0.9436363636363636
16.0,0.9354545454545454
18.0,0.9413636363636364
