epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds,learning_rate,timestamp
1,1.992815375328064,0.2100202441215515,1.756788730621338,0.2999916672706604,22.94,0.0010000000474974513,2025-10-23T14:36:22.904971
2,1.5647025108337402,0.37144047021865845,1.3619593381881714,0.4365749955177307,18.04,0.0010000000474974513,2025-10-23T14:36:41.021634
3,1.259903907775879,0.4706714153289795,1.1788567304611206,0.4995916783809662,18.09,0.0010000000474974513,2025-10-23T14:36:59.189104
4,1.1547467708587646,0.5085119009017944,1.1264451742172241,0.5209000110626221,18.2,0.0010000000474974513,2025-10-23T14:37:17.463956
5,1.1153169870376587,0.5260535478591919,1.0935724973678589,0.5359166860580444,18.29,0.0010000000474974513,2025-10-23T14:37:35.827604
