SNR,Accuracy
-20,0.0918
-18,0.0955
-16,0.0977
-14,0.1059
-12,0.1359
-10,0.2055
-8,0.3073
-6,0.44
-4,0.5727
-2,0.7127
0,0.7923
2,0.8168
4,0.8459
6,0.8509
8,0.8518
10,0.8455
12,0.8559
14,0.8459
16,0.8532
18,0.835
