SNR,Accuracy
-20,0.0973
-18,0.0936
-16,0.0895
-14,0.1014
-12,0.1214
-10,0.2018
-8,0.3218
-6,0.525
-4,0.6673
-2,0.7659
0,0.835
2,0.8577
4,0.8645
6,0.8709
8,0.8691
10,0.8655
12,0.8691
14,0.8682
16,0.8664
18,0.8618
