SNR,Accuracy
-20,0.0986
-18,0.1155
-16,0.1432
-14,0.1818
-12,0.2705
-10,0.3827
-8,0.5241
-6,0.6641
-4,0.7873
-2,0.8605
0,0.8977
2,0.9109
4,0.9095
6,0.9068
8,0.9109
10,0.9086
12,0.9145
14,0.9123
16,0.905
18,0.9005
