SNR,Accuracy
-20.0,0.10863636363636364
-18.0,0.10545454545454545
-16.0,0.13636363636363635
-14.0,0.18
-12.0,0.24181818181818182
-10.0,0.3368181818181818
-8.0,0.43636363636363634
-6.0,0.5727272727272728
-4.0,0.74
-2.0,0.8218181818181818
0.0,0.8477272727272728
2.0,0.8668181818181818
4.0,0.8459090909090909
6.0,0.8527272727272728
8.0,0.865
10.0,0.88
12.0,0.8859090909090909
14.0,0.88
16.0,0.8686363636363637
18.0,0.8577272727272728
