SNR,Accuracy
-20,0.0986
-18,0.1095
-16,0.1468
-14,0.1877
-12,0.2477
-10,0.3477
-8,0.4582
-6,0.5718
-4,0.6859
-2,0.7741
0,0.835
2,0.8505
4,0.8523
6,0.8523
8,0.8618
10,0.8673
12,0.8677
14,0.8632
16,0.8664
18,0.8705
