SNR,Accuracy
-20,0.1014
-18,0.1127
-16,0.1482
-14,0.2132
-12,0.26
-10,0.3341
-8,0.445
-6,0.5518
-4,0.6741
-2,0.7723
0,0.8405
2,0.8705
4,0.8809
6,0.8986
8,0.8932
10,0.8932
12,0.8986
14,0.9018
16,0.9014
18,0.9005
