SNR,Accuracy
-20.0,0.09681818181818182
-18.0,0.09090909090909091
-16.0,0.10136363636363636
-14.0,0.13227272727272726
-12.0,0.15454545454545454
-10.0,0.24409090909090908
-8.0,0.36272727272727273
-6.0,0.48727272727272725
-4.0,0.5972727272727273
-2.0,0.7236363636363636
0.0,0.8145454545454546
2.0,0.8418181818181818
4.0,0.8404545454545455
6.0,0.8531818181818182
8.0,0.850909090909091
10.0,0.8613636363636363
12.0,0.8613636363636363
14.0,0.8668181818181818
16.0,0.8513636363636363
18.0,0.8622727272727273
