SNR,Accuracy
-20.0,0.0890909090909091
-18.0,0.09136363636363637
-16.0,0.09181818181818181
-14.0,0.09454545454545454
-12.0,0.10954545454545454
-10.0,0.12545454545454546
-8.0,0.17136363636363636
-6.0,0.20272727272727273
-4.0,0.24363636363636362
-2.0,0.2540909090909091
0.0,0.24863636363636363
2.0,0.2340909090909091
4.0,0.24818181818181817
6.0,0.26181818181818184
8.0,0.23045454545454547
10.0,0.2640909090909091
12.0,0.26045454545454544
14.0,0.2595454545454545
16.0,0.2595454545454545
18.0,0.2609090909090909
