SNR,Accuracy
-20,0.0936
-18,0.0945
-16,0.0905
-14,0.1073
-12,0.1386
-10,0.2132
-8,0.3582
-6,0.5309
-4,0.6786
-2,0.7786
0,0.85
2,0.8705
4,0.8786
6,0.8786
8,0.8855
10,0.8895
12,0.8918
14,0.8882
16,0.8873
18,0.8877
