SNR,Accuracy
-20,0.0882
-18,0.0977
-16,0.0995
-14,0.1136
-12,0.1336
-10,0.2273
-8,0.3445
-6,0.4855
-4,0.6618
-2,0.785
0,0.8691
2,0.8868
4,0.8877
6,0.89
8,0.8932
10,0.8891
12,0.8941
14,0.8955
16,0.8986
18,0.8891
