epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds,learning_rate,timestamp
1,1.5873104333877563,0.4044981002807617,1.3389421701431274,0.48222726583480835,37.56,9.999999747378752e-05,2025-09-26T23:55:52.238245
2,1.2686767578125,0.5098352432250977,1.26295804977417,0.5141136646270752,17.57,9.999999747378752e-05,2025-09-26T23:56:09.936421
3,1.2026184797286987,0.5316420197486877,1.3174432516098022,0.5095909237861633,16.93,9.999999747378752e-05,2025-09-26T23:56:26.995116
4,1.1702381372451782,0.5432007312774658,1.4664256572723389,0.48347726464271545,17.94,6.999999459367245e-05,2025-09-26T23:56:45.096587
5,1.1462292671203613,0.551369309425354,1.1907062530517578,0.545090913772583,18.31,6.999999459367245e-05,2025-09-26T23:57:03.549186
6,1.1327641010284424,0.5561856031417847,1.182481050491333,0.5495454668998718,18.13,6.999999459367245e-05,2025-09-26T23:57:21.806287
7,1.1205848455429077,0.5600378513336182,1.1517488956451416,0.5568863749504089,18.31,6.999999459367245e-05,2025-09-26T23:57:40.244909
8,1.1093255281448364,0.5638144016265869,1.1286389827728271,0.5615000128746033,18.33,6.999999459367245e-05,2025-09-26T23:57:58.704037
9,1.0985051393508911,0.5676382780075073,1.1330466270446777,0.5618636608123779,18.48,6.999999459367245e-05,2025-09-26T23:58:17.334502
10,1.088089942932129,0.571295440196991,1.1076167821884155,0.568363606929779,18.18,6.999999459367245e-05,2025-09-26T23:58:35.643105
11,1.0779279470443726,0.5750492215156555,1.0858649015426636,0.5728409290313721,18.12,6.999999459367245e-05,2025-09-26T23:58:53.891120
12,1.0681928396224976,0.5783144235610962,1.073811650276184,0.576522707939148,18.32,6.999999459367245e-05,2025-09-26T23:59:12.334760
13,1.058998465538025,0.5813390016555786,1.0741702318191528,0.5761591196060181,18.24,6.999999459367245e-05,2025-09-26T23:59:30.700972
14,1.0512458086013794,0.5843522548675537,1.0605984926223755,0.5797045230865479,18.27,6.999999459367245e-05,2025-09-26T23:59:49.142142
15,1.0446417331695557,0.5867481231689453,1.0605100393295288,0.5801363587379456,17.77,6.999999459367245e-05,2025-09-27T00:00:07.062765
16,1.0383199453353882,0.5895246267318726,1.0466324090957642,0.5831817984580994,18.0,6.999999459367245e-05,2025-09-27T00:00:25.191997
17,1.032717227935791,0.5914280414581299,1.042543888092041,0.5850454568862915,17.17,6.999999459367245e-05,2025-09-27T00:00:42.490894
18,1.0276437997817993,0.5936628580093384,1.0363574028015137,0.587045431137085,17.51,6.999999459367245e-05,2025-09-27T00:01:00.139875
19,1.0228058099746704,0.5954734683036804,1.0385277271270752,0.5877045392990112,18.3,6.999999459367245e-05,2025-09-27T00:01:18.577995
20,1.0183348655700684,0.5972992181777954,1.0420087575912476,0.586545467376709,17.99,6.999999459367245e-05,2025-09-27T00:01:36.705117
21,1.0144169330596924,0.5988067984580994,1.0814892053604126,0.5757499933242798,18.79,4.8999994760379195e-05,2025-09-27T00:01:55.658609
22,1.0069730281829834,0.6022973656654358,1.0302871465682983,0.5908409357070923,18.92,4.8999994760379195e-05,2025-09-27T00:02:14.751847
23,1.003990888595581,0.6035056710243225,1.0293867588043213,0.5907727479934692,19.12,4.8999994760379195e-05,2025-09-27T00:02:34.002268
24,1.0012946128845215,0.6043750047683716,1.0190187692642212,0.5941136479377747,18.67,4.8999994760379195e-05,2025-09-27T00:02:52.838054
25,0.9988175630569458,0.605380654335022,1.0212504863739014,0.5938408970832825,18.09,4.8999994760379195e-05,2025-09-27T00:03:11.060774
26,0.9966103434562683,0.6063825488090515,1.017859935760498,0.5940227508544922,17.25,3.4299995604669675e-05,2025-09-27T00:03:28.464927
27,0.9923005700111389,0.6083409190177917,1.0305826663970947,0.5930454730987549,17.54,3.4299995604669675e-05,2025-09-27T00:03:46.160219
28,0.9906347990036011,0.6090227365493774,1.0183601379394531,0.5975909233093262,18.35,3.4299995604669675e-05,2025-09-27T00:04:04.658785
29,0.9892229437828064,0.6095719933509827,1.013119101524353,0.5994318127632141,18.29,3.4299995604669675e-05,2025-09-27T00:04:23.093165
30,0.9877204895019531,0.6103749871253967,1.0098512172698975,0.600068211555481,18.74,3.4299995604669675e-05,2025-09-27T00:04:41.960167
31,0.9862983226776123,0.6107234954833984,1.0094138383865356,0.6001363396644592,19.55,3.4299995604669675e-05,2025-09-27T00:05:01.640124
32,0.9848637580871582,0.611284077167511,1.0044618844985962,0.6018636226654053,18.57,3.4299995604669675e-05,2025-09-27T00:05:20.351638
33,0.9835864305496216,0.6119090914726257,1.0042784214019775,0.6014772653579712,19.48,3.4299995604669675e-05,2025-09-27T00:05:39.967391
34,0.9822643399238586,0.6125719547271729,1.0037297010421753,0.6024318337440491,18.16,3.4299995604669675e-05,2025-09-27T00:05:58.281564
35,0.981013834476471,0.6129166483879089,1.0005346536636353,0.602863609790802,18.33,3.4299995604669675e-05,2025-09-27T00:06:16.744790
36,0.9798200726509094,0.6133787631988525,0.9990294575691223,0.6039090752601624,18.37,3.4299995604669675e-05,2025-09-27T00:06:35.252030
37,0.9786949157714844,0.6138219833374023,0.9997066855430603,0.6042954325675964,18.29,3.4299995604669675e-05,2025-09-27T00:06:53.675706
38,0.9776766300201416,0.6143920421600342,0.9983483552932739,0.6039318442344666,19.48,3.4299995604669675e-05,2025-09-27T00:07:13.290606
39,0.976563572883606,0.6148087382316589,0.9959997534751892,0.6043182015419006,19.55,2.400999619567301e-05,2025-09-27T00:07:33.002711
40,0.9734272360801697,0.6159128546714783,0.9912287592887878,0.6039090752601624,19.74,2.400999619567301e-05,2025-09-27T00:07:52.878885
41,0.9725892543792725,0.6164204478263855,0.9901460409164429,0.6047499775886536,19.64,2.400999619567301e-05,2025-09-27T00:08:12.678963
42,0.9717680811882019,0.6168238520622253,0.9899885654449463,0.6035454273223877,19.57,2.400999619567301e-05,2025-09-27T00:08:32.386221
43,0.9709911942481995,0.6170586943626404,0.989201545715332,0.6045681834220886,19.03,1.6806996427476406e-05,2025-09-27T00:08:51.576790
44,0.9686604142189026,0.6180757284164429,0.9887640476226807,0.6060227155685425,19.19,1.6806996427476406e-05,2025-09-27T00:09:10.924648
45,0.9681001305580139,0.6182007789611816,0.9886431097984314,0.6055681705474854,19.11,1.6806996427476406e-05,2025-09-27T00:09:30.175104
46,0.9675494432449341,0.6183257699012756,0.9866707921028137,0.6061590909957886,19.49,1.6806996427476406e-05,2025-09-27T00:09:49.833075
47,0.966999888420105,0.6186685562133789,0.9871724247932434,0.6066818237304688,19.75,1.6806996427476406e-05,2025-09-27T00:10:09.724677
48,0.9664839506149292,0.618861734867096,0.9864979386329651,0.6065681576728821,19.01,1.6806996427476406e-05,2025-09-27T00:10:28.879751
49,0.9659818410873413,0.6191022992134094,0.9852489233016968,0.6065454483032227,18.99,1.1764897863031365e-05,2025-09-27T00:10:48.034717
50,0.9643412828445435,0.6197689175605774,0.9850040078163147,0.6063863635063171,19.06,1.1764897863031365e-05,2025-09-27T00:11:07.258202
51,0.9639556407928467,0.6199469566345215,0.984300971031189,0.6070908904075623,19.06,1.1764897863031365e-05,2025-09-27T00:11:26.487551
52,0.9635956287384033,0.6200113892555237,0.984768271446228,0.6068863868713379,19.7,1.1764897863031365e-05,2025-09-27T00:11:46.323122
53,0.9632468819618225,0.620339035987854,0.9833329319953918,0.6072499752044678,19.54,1.1764897863031365e-05,2025-09-27T00:12:06.029716
54,0.9628921747207642,0.6204394102096558,0.9835972189903259,0.6072272658348083,19.78,1.1764897863031365e-05,2025-09-27T00:12:25.971551
55,0.9625470638275146,0.6205852031707764,0.9828422665596008,0.6074545383453369,19.71,1.1764897863031365e-05,2025-09-27T00:12:45.844549
56,0.9622305631637573,0.6206628680229187,0.9824994802474976,0.6073863506317139,19.69,1.1764897863031365e-05,2025-09-27T00:13:05.674330
57,0.9619073271751404,0.6208314299583435,0.9820679426193237,0.6074772477149963,19.83,8.235428140324075e-06,2025-09-27T00:13:25.673072
58,0.9607992768287659,0.6215606331825256,0.982326865196228,0.607272744178772,19.43,8.235428140324075e-06,2025-09-27T00:13:45.238362
59,0.9605372548103333,0.6216951012611389,0.9824918508529663,0.6073863506317139,19.22,5.764799880125793e-06,2025-09-27T00:14:04.618474
60,0.9597182869911194,0.621929943561554,0.9803573489189148,0.6082500219345093,19.38,5.764799880125793e-06,2025-09-27T00:14:24.179506
61,0.9595274925231934,0.6219810843467712,0.9803613424301147,0.6082045435905457,19.11,5.764799880125793e-06,2025-09-27T00:14:43.423786
62,0.9593501687049866,0.6221685409545898,0.9798948168754578,0.6085227131843567,19.64,5.764799880125793e-06,2025-09-27T00:15:03.230959
63,0.9591892957687378,0.6221590638160706,0.9803183674812317,0.6081136465072632,18.91,5.764799880125793e-06,2025-09-27T00:15:22.275502
64,0.9590193629264832,0.6223238706588745,0.9800976514816284,0.6083636283874512,18.23,4.03535977966385e-06,2025-09-27T00:15:40.659396
65,0.9583751559257507,0.622331440448761,0.9822960495948792,0.6065909266471863,17.84,4.03535977966385e-06,2025-09-27T00:15:58.653987
66,0.9582420587539673,0.6223863363265991,0.9818002581596375,0.6067727208137512,18.84,2.8247518457646947e-06,2025-09-27T00:16:17.653200
67,0.9577708840370178,0.6225360035896301,0.9825983643531799,0.6065227389335632,18.76,2.8247518457646947e-06,2025-09-27T00:16:36.570023
68,0.9576780796051025,0.622607946395874,0.9821728467941284,0.6068181991577148,18.82,1.9773262920352863e-06,2025-09-27T00:16:55.549393
69,0.9573235511779785,0.6226931810379028,0.9775981903076172,0.609499990940094,18.65,1.9773262920352863e-06,2025-09-27T00:17:14.346663
70,0.9572479724884033,0.622772753238678,0.9777545928955078,0.609431803226471,17.83,1.9773262920352863e-06,2025-09-27T00:17:32.311070
71,0.957186758518219,0.6227954626083374,0.9776473045349121,0.6095454692840576,18.09,1.3841283816873329e-06,2025-09-27T00:17:50.570215
72,0.9569381475448608,0.6228408813476562,0.9765774011611938,0.6104545593261719,18.29,1.3841283816873329e-06,2025-09-27T00:18:08.991929
73,0.9568862318992615,0.6228787899017334,0.9765354990959167,0.6104317903518677,18.06,1.3841283816873329e-06,2025-09-27T00:18:27.180853
74,0.9568427205085754,0.6229014992713928,0.976508617401123,0.6104090809822083,18.05,9.68889821706398e-07,2025-09-27T00:18:45.392453
75,0.9566676020622253,0.6230037808418274,0.9766156673431396,0.6100909113883972,18.06,9.68889821706398e-07,2025-09-27T00:19:03.611291
76,0.9566341042518616,0.623022735118866,0.9765967726707458,0.6100909113883972,17.78,6.782228751944785e-07,2025-09-27T00:19:21.545080
77,0.9565121531486511,0.6231287717819214,0.9765196442604065,0.6101818084716797,18.09,6.782228751944785e-07,2025-09-27T00:19:39.786615
78,0.9564889073371887,0.6230946779251099,0.9764975309371948,0.6101136207580566,17.7,4.747560069517931e-07,2025-09-27T00:19:57.643428
79,0.9564061760902405,0.6231363415718079,0.976370096206665,0.6103408932685852,17.64,4.747560069517931e-07,2025-09-27T00:20:15.440535
80,0.9563887715339661,0.6231117248535156,0.9763585925102234,0.6103181838989258,18.09,3.323291934975714e-07,2025-09-27T00:20:33.679733
81,0.9563310742378235,0.6231268644332886,0.9763053059577942,0.6102045178413391,17.85,3.323291934975714e-07,2025-09-27T00:20:51.684194
82,0.9563198089599609,0.62314772605896,0.9762969613075256,0.6101818084716797,17.97,2.3263044113264186e-07,2025-09-27T00:21:09.812962
83,0.9562777280807495,0.6231192946434021,0.9763043522834778,0.6100909113883972,17.96,2.3263044113264186e-07,2025-09-27T00:21:27.927861
84,0.9562702775001526,0.6231344938278198,0.976302981376648,0.6101136207580566,18.04,1.6284130310850742e-07,2025-09-27T00:21:46.127130
85,0.956238865852356,0.6231136322021484,0.9762972593307495,0.6100682020187378,17.78,1.6284130310850742e-07,2025-09-27T00:22:04.066885
86,0.9562323689460754,0.6230965852737427,0.9762945771217346,0.6100909113883972,17.77,1.1398891075486972e-07,2025-09-27T00:22:22.003206
87,0.9562097787857056,0.6231136322021484,0.976274847984314,0.6101136207580566,18.01,1.1398891075486972e-07,2025-09-27T00:22:40.178588
88,0.9562048316001892,0.6230890154838562,0.9762716889381409,0.6100682020187378,18.08,1.0000000116860974e-07,2025-09-27T00:22:58.422354
89,0.9561951160430908,0.6230965852737427,0.9762599468231201,0.6100682020187378,18.0,1.0000000116860974e-07,2025-09-27T00:23:16.586380
90,0.956191897392273,0.6231174468994141,0.9762563705444336,0.6100909113883972,18.01,1.0000000116860974e-07,2025-09-27T00:23:34.752089
91,0.9561888575553894,0.6231231093406677,0.9762550592422485,0.6101136207580566,18.09,1.0000000116860974e-07,2025-09-27T00:23:52.993292
92,0.9561856985092163,0.6231136322021484,0.976252555847168,0.6101136207580566,18.09,1.0000000116860974e-07,2025-09-27T00:24:11.238115
93,0.9561823010444641,0.6231098771095276,0.9762505292892456,0.6101136207580566,17.9,1.0000000116860974e-07,2025-09-27T00:24:29.317549
94,0.9561783671379089,0.6231079697608948,0.9762489199638367,0.6101136207580566,18.15,1.0000000116860974e-07,2025-09-27T00:24:47.623146
95,0.9561758041381836,0.6231117248535156,0.9762486815452576,0.6101136207580566,18.04,1.0000000116860974e-07,2025-09-27T00:25:05.826682
96,0.9561721682548523,0.6231136322021484,0.97624671459198,0.6100682020187378,18.06,1.0000000116860974e-07,2025-09-27T00:25:24.050590
97,0.9561694264411926,0.6231192946434021,0.9762446880340576,0.6100227236747742,18.2,1.0000000116860974e-07,2025-09-27T00:25:42.407764
98,0.9561663866043091,0.6231174468994141,0.9762425422668457,0.6100682020187378,18.22,1.0000000116860974e-07,2025-09-27T00:26:00.794291
99,0.9561630487442017,0.6231117248535156,0.9762398600578308,0.6101136207580566,18.15,1.0000000116860974e-07,2025-09-27T00:26:19.115294
100,0.9561595320701599,0.6231231093406677,0.976236879825592,0.6101363897323608,18.24,1.0000000116860974e-07,2025-09-27T00:26:37.513361
101,0.9561564326286316,0.6231268644332886,0.9762342572212219,0.6101363897323608,18.24,1.0000000116860974e-07,2025-09-27T00:26:55.909095
102,0.9561534523963928,0.6231306791305542,0.9762316346168518,0.6101136207580566,18.22,1.0000000116860974e-07,2025-09-27T00:27:14.290656
