epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds,learning_rate,timestamp
1,1.2611819505691528,0.5227094292640686,1.1423442363739014,0.5699545741081238,129.63,0.0010000000474974513,2025-10-31T19:18:32.905031
2,1.1487021446228027,0.5670584440231323,1.1179851293563843,0.5869091153144836,60.96,0.0010000000474974513,2025-10-31T19:19:34.052483
3,1.120280385017395,0.5877727270126343,1.1047354936599731,0.5962727069854736,60.9,0.0010000000474974513,2025-10-31T19:20:35.129442
4,1.091078281402588,0.6034708023071289,1.0757383108139038,0.6100000143051147,61.47,0.0010000000474974513,2025-10-31T19:21:36.782329
5,1.0681253671646118,0.6143068075180054,1.0641182661056519,0.6196363568305969,61.43,0.0010000000474974513,2025-10-31T19:22:38.387862
6,1.0542374849319458,0.6195892691612244,1.0589841604232788,0.618363618850708,60.94,0.0010000000474974513,2025-10-31T19:23:39.505936
7,1.0438475608825684,0.6234772801399231,1.0611772537231445,0.6222272515296936,61.01,0.0010000000474974513,2025-10-31T19:24:40.707564
8,1.035504937171936,0.6266964077949524,1.0660356283187866,0.6194090843200684,60.7,0.0010000000474974513,2025-10-31T19:25:41.588463
9,1.028303623199463,0.6294253468513489,1.0634970664978027,0.6237727403640747,60.59,0.0010000000474974513,2025-10-31T19:26:42.360465
10,1.0209537744522095,0.6321168541908264,1.0636980533599854,0.6225908994674683,60.86,0.0010000000474974513,2025-10-31T19:27:43.404962
11,1.0149648189544678,0.6346396207809448,1.0843931436538696,0.6215454339981079,60.74,0.0007000000332482159,2025-10-31T19:28:44.328487
12,0.9993554353713989,0.6398652791976929,1.0762158632278442,0.6228181719779968,60.91,0.0007000000332482159,2025-10-31T19:29:45.422239
13,0.9927070736885071,0.6427629590034485,1.0729247331619263,0.6260454654693604,60.8,0.0007000000332482159,2025-10-31T19:30:46.400428
14,0.9864193201065063,0.644511342048645,1.0823991298675537,0.6259090900421143,60.64,0.0007000000332482159,2025-10-31T19:31:47.232416
15,0.9806393980979919,0.6467629671096802,1.0940061807632446,0.6240454316139221,60.72,0.0004900000058114529,2025-10-31T19:32:48.140341
16,0.9678104519844055,0.6516363620758057,1.0956764221191406,0.6278636455535889,60.93,0.0004900000058114529,2025-10-31T19:33:49.250952
17,0.9617601633071899,0.6533295512199402,1.115474820137024,0.6252727508544922,60.68,0.0004900000058114529,2025-10-31T19:34:50.111527
18,0.9568715691566467,0.6547077894210815,1.102545142173767,0.6265909075737,60.74,0.0003429999924264848,2025-10-31T19:35:51.047594
19,0.9461618065834045,0.6583263278007507,1.1206766366958618,0.6258181929588318,61.02,0.0003429999924264848,2025-10-31T19:36:52.258975
20,0.941353976726532,0.6599496603012085,1.129830241203308,0.6261363625526428,61.8,0.00024009999469853938,2025-10-31T19:37:54.247418
21,0.9330410957336426,0.6631428599357605,1.1309477090835571,0.6269545555114746,61.7,0.00024009999469853938,2025-10-31T19:38:56.133471
22,0.929083526134491,0.6640763282775879,1.1340211629867554,0.6262272596359253,61.16,0.00016806999337859452,2025-10-31T19:39:57.488714
23,0.923792839050293,0.6658717393875122,1.145494818687439,0.6266818046569824,60.87,0.00016806999337859452,2025-10-31T19:40:58.536800
24,0.920438289642334,0.6674350500106812,1.1523929834365845,0.6256818175315857,60.86,0.00011764899682020769,2025-10-31T19:41:59.584712
25,0.9163805842399597,0.6683863401412964,1.1580489873886108,0.6265000104904175,60.86,0.00011764899682020769,2025-10-31T19:43:00.634205
26,0.9140246510505676,0.6692970991134644,1.161339282989502,0.6251817941665649,60.68,8.235429413616657e-05,2025-10-31T19:44:01.511464
27,0.9104436039924622,0.670423686504364,1.164784550666809,0.6259090900421143,60.77,8.235429413616657e-05,2025-10-31T19:45:02.468372
28,0.9088921546936035,0.6713538765907288,1.1656550168991089,0.6257727146148682,60.71,5.764800516772084e-05,2025-10-31T19:46:03.363217
29,0.9061768651008606,0.6720194816589355,1.1677136421203613,0.6258181929588318,60.69,5.764800516772084e-05,2025-10-31T19:47:04.239337
30,0.9053144454956055,0.6727353930473328,1.1722966432571411,0.6262272596359253,60.73,4.035360325360671e-05,2025-10-31T19:48:05.165039
31,0.9039135575294495,0.6726461052894592,1.1738429069519043,0.6264545321464539,60.84,4.035360325360671e-05,2025-10-31T19:49:06.186698
