SNR,Accuracy
-20.0,0.09272727272727273
-18.0,0.11636363636363636
-16.0,0.12227272727272727
-14.0,0.17909090909090908
-12.0,0.22818181818181818
-10.0,0.31772727272727275
-8.0,0.42272727272727273
-6.0,0.5531818181818182
-4.0,0.6881818181818182
-2.0,0.7922727272727272
0.0,0.8645454545454545
2.0,0.8745454545454545
4.0,0.8909090909090909
6.0,0.8963636363636364
8.0,0.8968181818181818
10.0,0.8881818181818182
12.0,0.9036363636363637
14.0,0.8931818181818182
16.0,0.9063636363636364
18.0,0.9022727272727272
