SNR,Accuracy
-20,0.0941
-18,0.0959
-16,0.1018
-14,0.1309
-12,0.1636
-10,0.2432
-8,0.3282
-6,0.4782
-4,0.6209
-2,0.7041
0,0.74
2,0.7777
4,0.7745
6,0.7777
8,0.7941
10,0.7818
12,0.7873
14,0.7868
16,0.7814
18,0.7909
