SNR,Accuracy
-20,0.0886
-18,0.1145
-16,0.1341
-14,0.1945
-12,0.2564
-10,0.3323
-8,0.4282
-6,0.5573
-4,0.7036
-2,0.7682
0,0.8159
2,0.8159
4,0.8055
6,0.8
8,0.8064
10,0.7986
12,0.8105
14,0.8077
16,0.7973
18,0.8109
